municipio_id,provincia_id,id_departamento,municipio,provincia,departamento ,error
SCR016,AR-T,1648,Tafi del Valle,Tucuman,Tafi del Valle,El formato del id de municipio no coincide con la provincia
COR019,AR-T,1648,Tafi del Valle,Tucuman,Tafi del Valle,El formato del id de municipio no coincide con la provincia
CBA380,AR-Z,1607,Jaramillo,Santa Cruz,Deseado,El formato del id de municipio no coincide con la provincia
MZA003,AR-Z,1607,Jaramillo,Santa Cruz,Deseado,El formato del id de municipio no coincide con la provincia
SFE182,AR-W,1425,Garruchos,Corrientes,Santo Tome,El formato del id de municipio no coincide con la provincia
BUE043,AR-X,1382,Vicuna Mackenna,Cordoba,Rio Cuarto,El formato del id de municipio no coincide con la provincia
CBA277,AR-M,1517,Guaymallen,Mendoza,Guaymallen,El formato del id de municipio no coincide con la provincia
BUE089,AR-M,1517,Guaymallen,Mendoza,Guaymallen,El formato del id de municipio no coincide con la provincia
ERI037,AR-S,1685,Las Avispas,Santa Fe,San Cristobal,El formato del id de municipio no coincide con la provincia
MIS028,AR-B,1237,General Alvear,Buenos Aires,General Alvear,El formato del id de municipio no coincide con la provincia
CHU008,AR-X,1388,Pampayasta Sud,Cordoba,Tercero Arriba,El formato del id de municipio no coincide con la provincia
CHA024,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio,El formato del id de municipio no coincide con la provincia
LAP075,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio,El formato del id de municipio no coincide con la provincia
RNO028,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio,El formato del id de municipio no coincide con la provincia
LAP029,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio,El formato del id de municipio no coincide con la provincia
SJU017,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio,El formato del id de municipio no coincide con la provincia
MIS069,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio,El formato del id de municipio no coincide con la provincia
CHA059,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio,El formato del id de municipio no coincide con la provincia
CBA171,AR-E,1435,Nogoya,Entre Rios,Nogoya,El formato del id de municipio no coincide con la provincia
SFE033,AR-E,1435,Nogoya,Entre Rios,Nogoya,El formato del id de municipio no coincide con la provincia
TUC082,AR-E,1435,Nogoya,Entre Rios,Nogoya,El formato del id de municipio no coincide con la provincia
BUE056,AR-E,1435,Nogoya,Entre Rios,Nogoya,El formato del id de municipio no coincide con la provincia
CBA415,AR-N,1536,Dos de Mayo,Misiones,Cainguas,El formato del id de municipio no coincide con la provincia
CBA100,AR-U,1368,Colan Conhue,Chubut,Languineo,El formato del id de municipio no coincide con la provincia
ERI160,AR-H,1359,General Pinedo,Chaco,Doce de Octubre,El formato del id de municipio no coincide con la provincia
MIS052,AR-H,1359,General Pinedo,Chaco,Doce de Octubre,El formato del id de municipio no coincide con la provincia
CHU028,AR-L,1494,Veinticinco de Mayo,La Pampa,Puelen,El formato del id de municipio no coincide con la provincia
JUJ001,AR-L,1494,Veinticinco de Mayo,La Pampa,Puelen,El formato del id de municipio no coincide con la provincia
MZA010,AR-L,1494,Veinticinco de Mayo,La Pampa,Puelen,El formato del id de municipio no coincide con la provincia
MIS002,AR-R,1576,Norquinco,Rio Negro,Norquinco,El formato del id de municipio no coincide con la provincia
SAL014,AR-L,1477,General Pico,La Pampa,Maraco,El formato del id de municipio no coincide con la provincia
LRJ017,AR-J,1595,Valle Fertil,San Juan,Valle Fertil,El formato del id de municipio no coincide con la provincia
BUE031,AR-J,1595,Valle Fertil,San Juan,Valle Fertil,El formato del id de municipio no coincide con la provincia
CAT003,AR-N,1546,San Vicente,Misiones,Guarani,El formato del id de municipio no coincide con la provincia
TUC013,AR-N,1546,San Vicente,Misiones,Guarani,El formato del id de municipio no coincide con la provincia
SAL052,AR-H,1721,Quitilipi,Chaco,Quitilipi,El formato del id de municipio no coincide con la provincia
CHU043,AR-H,1721,Quitilipi,Chaco,Quitilipi,El formato del id de municipio no coincide con la provincia
BUE064,AR-H,1721,Quitilipi,Chaco,Quitilipi,El formato del id de municipio no coincide con la provincia
CBA307,AR-B,1202,Azul,Buenos Aires,Azul,El formato del id de municipio no coincide con la provincia
BUE014,AR-X,1396,La Falda,Cordoba,Punilla,El formato del id de municipio no coincide con la provincia
ERI005,AR-X,1396,La Falda,Cordoba,Punilla,El formato del id de municipio no coincide con la provincia
SJU015,AR-S,1691,Bigand,Santa Fe,Caseros,El formato del id de municipio no coincide con la provincia
ERI022,AR-S,1691,Bigand,Santa Fe,Caseros,El formato del id de municipio no coincide con la provincia
BUE066,AR-S,1691,Bigand,Santa Fe,Caseros,El formato del id de municipio no coincide con la provincia
CHA043,AR-T,1654,San Felipe y Santa Barbara,Tucuman,Lules,El formato del id de municipio no coincide con la provincia
TDF003,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte,El formato del id de municipio no coincide con la provincia
JUJ030,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte,El formato del id de municipio no coincide con la provincia
MZA013,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte,El formato del id de municipio no coincide con la provincia
JUJ020,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte,El formato del id de municipio no coincide con la provincia
RNO037,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte,El formato del id de municipio no coincide con la provincia
SAL057,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte,El formato del id de municipio no coincide con la provincia
MIS059,AR-X,1391,Villa Quillinzo,Cordoba,Calamuchita,El formato del id de municipio no coincide con la provincia
ERI056,AR-X,1406,Cordoba,Cordoba,Capital,El formato del id de municipio no coincide con la provincia
SFE271,AR-X,1406,Cordoba,Cordoba,Capital,El formato del id de municipio no coincide con la provincia
NEU043,AR-X,1406,Cordoba,Cordoba,Capital,El formato del id de municipio no coincide con la provincia
SAL006,AR-X,1406,Cordoba,Cordoba,Capital,El formato del id de municipio no coincide con la provincia
CAB000,AR-E,1433,Pueblo General Belgrano,Entre Rios,Gualeguaychu,El formato del id de municipio no coincide con la provincia
SFE362,AR-E,1433,Pueblo General Belgrano,Entre Rios,Gualeguaychu,El formato del id de municipio no coincide con la provincia
