id,identificador,ubicacion,latitud,longitud,municipio_id,provincia_id,id_departamento,error
913,SCR016-01,,-47.025.900,-67.247.908,SCR016,AR-Z,1607,'SCR016' is not in list
798,SCR016-02,,-47.184.491,-67.142.626,SCR016,AR-Z,1607,'SCR016' is not in list
334,COR019-01,,-28.172.889,-55.651.056,COR019,AR-W,1425,'COR019' is not in list
1026,CBA380-01,,0,0,CBA380,AR-X,1382,'CBA380' is not in list
929,MZA003-01,Punto Digital,-32.914.748,-68.754.544,MZA003,AR-M,1517,'MZA003' is not in list
153,MZA003-02,Mdza - Guaymallen,-32.899.573,-68.788.042,MZA003,AR-M,1517,'MZA003' is not in list
1285,SFE182-01,,0,0,SFE182,AR-S,1685,'SFE182' is not in list
1091,BUE043-01,,-36.022.218,-60.014.617,BUE043,AR-B,1237,'BUE043' is not in list
604,CBA277-01,Dependencia Municipal,-32.247.500,-63.652.556,CBA277,AR-X,1388,'CBA277' is not in list
883,BUE089-01,,-35.553.842,-60.560.544,BUE089,AR-B,1284,'BUE089' is not in list
417,BUE089-02,Parque GraSM.,-35.438.139,-60.878.167,BUE089,AR-B,1284,'BUE089' is not in list
881,BUE089-03,,-35.607.681,-60.917.092,BUE089,AR-B,1284,'BUE089' is not in list
357,BUE089-04,Plaza Municipio,-35.444.056,-60.884.778,BUE089,AR-B,1284,'BUE089' is not in list
418,BUE089-05,Plaza,-35.449.028,-60.897.917,BUE089,AR-B,1284,'BUE089' is not in list
882,BUE089-06,,-35.237.794,-60.824.925,BUE089,AR-B,1284,'BUE089' is not in list
416,BUE089-07,Plaza Esc Comer,-35.450.667,-60.882.917,BUE089,AR-B,1284,'BUE089' is not in list
419,BUE089-08,Plaza Espana,-35.437.917,-60.881.611,BUE089,AR-B,1284,'BUE089' is not in list
1193,ERI037-01,,0,0,ERI037,AR-E,1435,'ERI037' is not in list
395,ERI037-02,Nogoya - Pza Francisco Ramirez,-32.396.826,-59.795.364,ERI037,AR-E,1435,'ERI037' is not in list
938,ERI037-03,Punto Digital,-32.391.618,-59.799.701,ERI037,AR-E,1435,'ERI037' is not in list
394,ERI037-04,Paseo de Los Puentes,-32.395.555,-59.759.957,ERI037,AR-E,1435,'ERI037' is not in list
323,MIS028-01,C.I.C,-27.000.000,-55.000.000,MIS028,AR-N,1536,'MIS028' is not in list
660,CHU008-01,Comuna,-43.000.000,-70.000.000,CHU008,AR-U,1368,'CHU008' is not in list
306,CHA024-01,,-27.330.083,-61.277.694,CHA024,AR-H,1359,'CHA024' is not in list
1268,CHA024-02,Plaza Meson de Fierro,-27.430.083,-61.017.066,CHA024,AR-H,1359,'CHA024' is not in list
